Angle,Azimuth,FALSE,Mbps_DOWN,Download Bites,Mbps_UP,Upload Bites,Ping,
-45,60,TRUE,5922,9882528,343,598140,48,
-60,60,TRUE,6453,8853324,454,764868,47,
-75,60,TRUE,7935,14019573,596,947928,94,
-90,60,TRUE,8642,15104484,1029,1719552,53,
-105,60,TRUE,10490,13310496,529,702492,50,
-120,60,TRUE,7120,11134088,205,352644,67,
-135,60,TRUE,3311,3335760,1227,1990692,54,
-45,50,TRUE,2220,2366220,204,361980,59,
-60,50,TRUE,2966,2946588,64,108084,81,
-75,50,TRUE,3525,5154156,381,574728,59,
-90,50,TRUE,8550,15786552,366,644532,51,
-105,50,TRUE,4273,7024080,41,61799,52,
-120,50,TRUE,6972,11987040,894,1375068,57,
-135,50,TRUE,4154,6526400,574,934368,54,
-45,40,TRUE,4532,7658688,408,631980,46,
-60,40,TRUE,3341,4831378,108,191780,60,
-75,40,TRUE,2835,4454460,123,207588,53,
-90,40,TRUE,2003,3311352,353,516720,54,
-105,40,TRUE,7554,12156540,288,393951,71,
-120,40,TRUE,10605,14770880,374,567444,48,
-135,40,TRUE,4393,7281720,145,252244,57,
-45,30,TRUE,5223,6077592,283,425868,61,
-60,30,TRUE,4736,8244480,458,661423,54,
-75,30,TRUE,2608,4400220,72,130022,72,
-90,30,TRUE,3239,4693116,142,240012,104,
-105,30,TRUE,6286,10678500,1222,1796784,54,
-120,30,TRUE,4815,7295280,369,627912,53,
-135,30,TRUE,4294,6705420,266,427224,56,
-45,20,TRUE,4121,5445696,70,131692,62,
-60,20,TRUE,3960,6721692,100,185856,53,
-75,20,TRUE,4174,7143408,163,270792,58,
-90,20,TRUE,3342,5406372,216,337728,56,
-105,20,TRUE,5317,8111592,498,821820,58,
-120,20,TRUE,2550,2857092,32,59875,61,
-135,20,TRUE,3155,4805664,118,185335,56,
-45,10,TRUE,7328,3632724,93,173624,58,
-60,10,TRUE,5693,9576072,175,189111,59,
-75,10,TRUE,4120,6024708,69,123424,69,
-90,10,TRUE,4612,7205784,0,4121,75,
-105,10,TRUE,6036,11017696,900,1426596,51,
-120,10,TRUE,5617,8900784,174,261516,54,
-135,10,TRUE,5610,8681112,156,263688,65,
