Angle,Azimuth,FALSE,Mbps_DOWN,Download Bites,Mbps_UP,Upload Bites,Ping,
-45,60,TRUE,8576,15298392,139,231779,57,
-60,60,TRUE,8082,12662552,383,678199,49,
-75,60,TRUE,6858,11634480,946,1471366,55,
-90,60,TRUE,11718,16711344,672,1178672,56,
-105,60,TRUE,8798,12140492,459,640340,52,
-120,60,TRUE,6826,11668380,565,968492,59,
-135,60,TRUE,7442,9615619,461,697292,49,
-45,50,TRUE,4347,7307484,484,769854,54,
-60,50,TRUE,5087,8125152,158,362158,60,
-75,50,TRUE,6197,7032216,1383,2146205,46,
-90,50,TRUE,7324,10316448,1433,2269933,50,
-105,50,TRUE,6260,10202544,299,538640,55,
-120,50,TRUE,3708,6051828,1188,1915974,47,
-135,50,TRUE,4399,7730556,350,621201,51,
-45,40,TRUE,5189,7162392,1927,3357981,55,
-60,40,TRUE,2985,5048388,668,1075313,47,
-75,40,TRUE,2078,2298420,430,733095,58,
-90,40,TRUE,4623,8771964,106,174787,47,
-105,40,TRUE,5945,9546240,396,667157,52,
-120,40,TRUE,5136,4246992,330,514232,50,
-135,40,TRUE,5329,9025536,377,615823,59,
-45,30,TRUE,9343,14835996,138,209798,56,
-60,30,TRUE,4441,7824120,1113,1589540,53,
-75,30,TRUE,4389,5520199,45,81875,70,
-90,30,TRUE,10065,14636664,750,1113475,57,
-105,30,TRUE,4857,7288500,177,307183,65,
-120,30,TRUE,2895,4246992,127,215227,67,
-135,30,TRUE,4409,6643044,482,831008,66,
-45,20,TRUE,4034,6073748,195,318594,64,
-60,20,TRUE,3101,3737136,136,230286,54,
-75,20,TRUE,5523,9226224,194,330838,57,
-90,20,TRUE,6727,9399792,75,106004,56,
-105,20,TRUE,3003,4461240,113,208248,56,
-120,20,TRUE,1178,1501092,130,219697,69,
-135,20,TRUE,2716,3945960,61,95422,67,
-45,10,TRUE,2926,4834140,44,70114,58,
-60,10,TRUE,4711,7209852,31,53372,63,
-75,10,TRUE,8577,12974208,75,130569,49,
-90,10,TRUE,4482,8015316,56,99706,56,
-105,10,TRUE,5835,9430980,498,831435,54,
-120,10,TRUE,4421,7712928,365,621138,51,
-135,10,TRUE,6116,9216732,175,307677,48,
